TrID,Pe,rewID,alpha,gamma,learned
1.0,0.06,"Displacement",1.0,0.999,1
1.0,0.06,"Displacement",1.0,0.990,1
1.0,0.06,"Displacement",1.0,0.950,1
1.0,0.06,"Displacement",1.0,0.900,1
1.0,0.06,"Displacement",1.0,0.700,1
1.0,0.06,"Displacement",1.0,0.100,1
1.0,0.06,"Displacement",0.5,0.999,1
1.0,0.06,"Displacement",0.5,0.990,1
1.0,0.06,"Displacement",0.5,0.950,1
1.0,0.06,"Displacement",0.5,0.900,1
1.0,0.06,"Displacement",0.5,0.700,1
1.0,0.06,"Displacement",0.5,0.100,1
1.0,0.06,"Displacement",0.1,0.999,1
1.0,0.06,"Displacement",0.1,0.990,1
1.0,0.06,"Displacement",0.1,0.950,1
1.0,0.06,"Displacement",0.1,0.900,1
1.0,0.06,"Displacement",0.1,0.700,1
1.0,0.06,"Displacement",0.1,0.100,1
1.0,0.60,"Displacement",1.0,0.999,1
1.0,0.60,"Displacement",1.0,0.990,1
1.0,0.60,"Displacement",1.0,0.950,1
1.0,0.60,"Displacement",1.0,0.900,1
1.0,0.60,"Displacement",1.0,0.700,1
1.0,0.60,"Displacement",1.0,0.100,1
1.0,0.60,"Displacement",0.5,0.999,1
1.0,0.60,"Displacement",0.5,0.990,1
1.0,0.60,"Displacement",0.5,0.950,1
1.0,0.60,"Displacement",0.5,0.900,1
1.0,0.60,"Displacement",0.5,0.700,1
1.0,0.60,"Displacement",0.5,0.100,1
1.0,0.60,"Displacement",0.1,0.999,1
1.0,0.60,"Displacement",0.1,0.990,1
1.0,0.60,"Displacement",0.1,0.950,1
1.0,0.60,"Displacement",0.1,0.900,1
1.0,0.60,"Displacement",0.1,0.700,1
1.0,0.60,"Displacement",0.1,0.100,1
1.0,6.00,"Displacement",1.0,0.999,1
1.0,6.00,"Displacement",1.0,0.990,1
1.0,6.00,"Displacement",1.0,0.950,1
1.0,6.00,"Displacement",1.0,0.900,1
1.0,6.00,"Displacement",1.0,0.700,1
1.0,6.00,"Displacement",1.0,0.100,1
1.0,6.00,"Displacement",0.5,0.999,1
1.0,6.00,"Displacement",0.5,0.990,1
1.0,6.00,"Displacement",0.5,0.950,1
1.0,6.00,"Displacement",0.5,0.900,1
1.0,6.00,"Displacement",0.5,0.700,1
1.0,6.00,"Displacement",0.5,0.100,1
1.0,6.00,"Displacement",0.1,0.999,1
1.0,6.00,"Displacement",0.1,0.990,1
1.0,6.00,"Displacement",0.1,0.950,1
1.0,6.00,"Displacement",0.1,0.900,1
1.0,6.00,"Displacement",0.1,0.700,1
1.0,6.00,"Displacement",0.1,0.100,1
1.0,60.0,"Displacement",1.0,0.999,1
1.0,60.0,"Displacement",1.0,0.990,1
1.0,60.0,"Displacement",1.0,0.950,1
1.0,60.0,"Displacement",1.0,0.900,1
1.0,60.0,"Displacement",1.0,0.700,1
1.0,60.0,"Displacement",1.0,0.100,1
1.0,60.0,"Displacement",0.5,0.999,1
1.0,60.0,"Displacement",0.5,0.990,1
1.0,60.0,"Displacement",0.5,0.950,1
1.0,60.0,"Displacement",0.5,0.900,1
1.0,60.0,"Displacement",0.5,0.700,1
1.0,60.0,"Displacement",0.5,0.100,1
1.0,60.0,"Displacement",0.1,0.999,1
1.0,60.0,"Displacement",0.1,0.990,1
1.0,60.0,"Displacement",0.1,0.950,1
1.0,60.0,"Displacement",0.1,0.900,1
1.0,60.0,"Displacement",0.1,0.700,1
1.0,60.0,"Displacement",0.1,0.100,1
1.0,1.00,"Displacement",1.0,0.999,1
1.0,1.00,"Displacement",1.0,0.990,1
1.0,1.00,"Displacement",1.0,0.950,1
1.0,1.00,"Displacement",1.0,0.900,1
1.0,1.00,"Displacement",1.0,0.700,1
1.0,1.00,"Displacement",1.0,0.100,1
1.0,1.00,"Displacement",0.5,0.999,1
1.0,1.00,"Displacement",0.5,0.990,1
1.0,1.00,"Displacement",0.5,0.950,1
1.0,1.00,"Displacement",0.5,0.900,1
1.0,1.00,"Displacement",0.5,0.700,1
1.0,1.00,"Displacement",0.5,0.100,1
1.0,1.00,"Displacement",0.1,0.999,1
1.0,1.00,"Displacement",0.1,0.990,1
1.0,1.00,"Displacement",0.1,0.950,1
1.0,1.00,"Displacement",0.1,0.900,1
1.0,1.00,"Displacement",0.1,0.700,1
1.0,1.00,"Displacement",0.1,0.100,1
1.0,10.0,"Displacement",1.0,0.999,1
1.0,10.0,"Displacement",1.0,0.990,1
1.0,10.0,"Displacement",1.0,0.950,1
1.0,10.0,"Displacement",1.0,0.900,1
1.0,10.0,"Displacement",1.0,0.700,1
1.0,10.0,"Displacement",1.0,0.100,1
1.0,10.0,"Displacement",0.5,0.999,1
1.0,10.0,"Displacement",0.5,0.990,1
